Year,pmi
2015.7400206978118,49.505547668959565
2015.8260246554155,48.59517241372416
2015.9198471546194,48.16049509604189
2016.005851112223,48.527657321828755
2016.076217986626,49.59810652691852
2016.1153106946276,50.5937298455989
2016.1856775690305,51.37537403503204
2016.2795000682345,50.933901305216665
2016.3498669426374,51.54566019132237
2016.4202338170403,52.56514380541391
2016.4984192330437,52.137223723392076
2016.5218748578445,51.23349117439914
2016.578559284447,50.18034068348246
2016.5844231906472,49.50760919848309
2016.6438441068096,50.99187227894761
2016.7173383978527,51.98825912708115
2016.795523813856,52.90243294134601
2016.865890688259,53.960650404596194
2016.936257562662,54.961786405928365
2016.9988058954646,56.062795877380736
2017.076991311468,57.255581589102576
2017.1551767274711,56.75630967968323
2017.2333621434743,55.706609387483006
2017.3271846426783,55.706838446318955
2017.4210071418822,56.59726649459063
2017.5007562662056,56.81627346528691
2017.5382852658872,57.82752241422615
2017.5695594322885,58.867296823535334
2017.6399263066915,59.90716667402616
2017.7102931810944,59.37729632177154
2017.7806600554973,58.50765536286207
2017.866664013101,58.757936499959655
2017.9526679707046,59.28275228723437
2018.0308533867078,59.77561054924721
2018.1012202611107,60.340481091634544
2018.1715871355136,59.20513951832097
2018.249772551517,58.29134746878269
2018.3357765091205,58.94663516901288
2018.4217804667242,59.62366818806897
2018.5103906048612,58.9783203687698
2018.5725666261592,60.1540784647226
2018.609425465132,60.41918952531323
2018.6641552563344,59.52912415353181
2018.707157235136,58.46234943393536
2018.773614838739,58.05886420323819
2018.8361631715416,58.31996073503974
2018.8643099213027,57.00715582857616
2018.8987115043442,55.71067518182107
2018.9237308374652,54.874900571806364
2019.0059372177202,55.94974716116813
2019.0751871576088,54.779163795187735
2019.1019935859526,54.610314710403884
2019.1739241686757,54.8061981916113
2019.2177080016374,53.59943989089669
2019.2708740845198,52.661802816536316
2019.3600054587635,52.021892599492716
2019.4538279579674,51.50567033621328
2019.5241948323703,50.54768901957354
2019.5789246235727,49.341636983603095
2019.6571100395759,48.48900364326269
2019.7509325387798,48.48243728996553
2019.8447550379838,48.14289574214662
2019.9245041623071,48.300744003645036
2019.9620331619888,49.51585531657719
2020.013412149648,50.5469418514658
2020.1027669107946,49.932078127376656
2020.1653152435972,48.93194616727538
2020.1770430559977,47.66123273074071
2020.1861646878647,46.51283034985634
2020.2044079515988,45.31688235364933
2020.2200450347996,43.971428927768756
2020.2513192012009,41.76979174959059
2020.2591377428012,42.50953998717264
2020.3373231588043,43.890170305716524
2020.3560876586453,45.93699425197258
2020.3685973252057,48.21212877531163
2020.372506596006,47.55977875465247
2020.3873618250466,49.345649330879425
2020.399871491607,50.933767687562366
2020.4155085748077,52.391421766584365
2020.4624198244096,53.60791506782674
2020.5093310740117,54.5729781201445
2020.5796979484146,55.76914244969656
2020.6683080865516,56.14310645036197
2020.7126131556201,57.40716127379057
2020.7639921432794,58.34214126565396
2020.8470920711459,58.08838988719177
2020.8846210708273,59.30350120012392
2020.9315323204294,60.05382922903581
2021.0097177364325,59.30380661190518
2021.0722660692352,60.455781674355784
2021.1066676522767,61.783009652189506
2021.1574012999943,63.277218127964424
2021.1660885684391,64.35997500365605
2021.2208183596415,62.443802399776956
2021.2286369012418,61.50605461364587
2021.2833666924441,61.016918557717176
2021.377189191648,60.93560267095596
2021.4710116908518,59.97088320689211
2021.5648341900558,59.92354438079637
2021.6586566892597,60.501383470945584
2021.7524791884637,60.814201487904
2021.8384831460673,60.39853223595807
2021.90103147887,59.21084690098332
2021.971398353273,58.15772981448022
2022.0652208524768,58.32104876451049
2022.1355877268797,57.67565640599322
2022.1824989764818,56.778776533842375
2022.2528658508847,55.81399980506954
2022.3326149752081,55.710904240657015
2022.3701439748895,54.577521120390784
2022.4215229625488,53.28457670576017
2022.5186962652958,52.91300782427223
2022.596881681299,52.44771297551836
2022.6594300141016,51.2246914974515
2022.737615430105,50.32449027217942
2022.831437929309,49.18988550478814
2022.925260428513,48.327097222720745
2023.0190829277167,47.63419424398079
2023.09726834372,47.464499823016645
2023.1754537597233,46.69001372220686
2023.2692762589272,47.097967509028635
2023.3630987581312,46.60892689428158
2023.4569212573351,46.32374864352745
2023.5351066733383,47.068037154464875
2023.597655006141,48.005956734722915
2023.6706280610774,48.54637015617655
2023.7211879634262,47.40486435507782
2023.7743540463084,46.80156155766583
2023.8634854205523,46.97030538446079
2023.9338522949552,47.71797251322843
2024.004219169358,48.74425153945307
2024.0991586030764,48.46004678875171
2024.1527714597642,49.66471301876467
2024.1996827093662,49.89315339585471
2024.28568666697,49.084709322615765
2024.3795091661739,48.65003200493349
2024.4498760405768,47.86873140375428
2024.5202429149797,47.10781703897436
2024.6140654141836,47.277931401137735
2024.7078879133876,46.96557150185121
2024.7782547877905,47.271536841967546
2024.8329845789929,48.3453455766512
2024.9033514533958,49.250666266906705
2024.984664286039,50.50665694676088
2025.0565948687622,50.58022300957255
2025.1300891598053,49.660983177386
2025.2082745758084,48.957848903973726
2025.3020970750124,48.6794660653527
2025.3959195742164,48.90394372458085
2025.4897420734203,48.36053981276902
2025.5835645726243,48.761698187457704
2025.6539314470272,49.12202682463881
